name,city,stationid,lon,lat,earliest_measurement_at,latest_measurement_at,ags,ascii,distanceinmeters
Remigiusstraße,Bonn,51,7.1009432,50.734406400000005,2018-05-01 00:00:00,2020-03-20 23:05:22,5314,BONN,139.93777730363962
Königstraße (Mitte),Stuttgart,76,9.1779047,48.778096000000005,2018-05-01 00:00:00,2020-03-20 23:08:58,8111000,MITTE,281.14365377068424
Hainstraße,Leipzig,69,12.3735015,51.342161,2018-05-01 00:00:00,2020-03-20 23:04:34,14713000,LEIPZIG,323.5962427521445
Spitalerstraße,Hamburg,81,10.0026133,53.5519671,2018-05-01 00:00:00,2020-03-20 23:03:04,2000000,HAMBURG-MITTE,590.5356779026765
Kirchgasse,Wiesbaden,79,8.2380021,50.0802521,2018-05-01 00:00:00,2020-03-20 23:06:28,6414,WIESBADEN,923.2368582251746
Karolinenstraße,Nürnberg,90,11.0758686,49.451030200000005,2018-08-27 00:00:00,2020-03-20 22:57:49,9564,NUERNBERG,655.9394949815147
Wilhelmstraße,Reutlingen,134,9.211719800000001,48.4920619,2019-04-25 00:00:00,2020-03-20 23:08:41,8415061,REUTLINGEN,1040.7672787073357
Goethestraße,Frankfurt a.M.,59,8.6741254,50.1139928,2018-05-01 00:00:00,2020-03-20 23:01:42,6438009,NEU-ISENBURG,722.6312524991317
Herrenteichsstraße (West),Osnabrück,116,8.0471954,52.275917799999995,2019-01-31 00:00:00,2020-03-20 23:07:57,3404,OSNABRUECK,699.3214818059733
Bahnhofstraße (West),Brilon,248,8.5746481,51.397779799999995,2019-12-06 00:00:00,2020-03-20 22:52:36,5958012,BRILON,5.6819374893173595
Rathausgasse,Freiburg,84,7.8485128,47.9960542,2018-07-02 09:00:00,2020-03-20 22:29:23,8311000,FREIBURG,235.05936814242042
Breite Straße (Mitte),Lübeck,207,10.683470800000002,53.8653372,2019-10-19 00:00:00,2020-03-20 23:05:09,1003000,LUEBECK,528.0646435461409
Schützenstraße,München,74,11.562514,48.1398846,2018-05-01 00:00:00,2020-03-20 22:27:24,9162,MUENCHEN,1005.1961913746303
Westenhellweg (Ost),Dortmund,246,7.461371000000001,51.514331899999995,2019-12-20 00:00:00,2020-03-20 23:03:49,5913000,DORTMUND,327.49448819834186
Schildergasse (Mitte),Köln,159,6.9525662,50.9364177,2019-06-26 00:00:00,2020-03-20 23:03:45,5315,KOELN,390.9427106347953
Hauptstraße (West),Heidelberg,141,8.7055984,49.411601399999995,2019-05-15 00:00:00,2020-03-20 23:04:44,8221,HEIDELBERG,697.5530960782403
Hauptstraße,Bergisch-Gladbach,171,7.1378114,50.990900700000005,2019-09-29 00:00:00,2020-03-20 23:07:01,5378004,BERGISCH GLADBACH,898.6642985780468
Brotstraße,Trier,138,6.6404492,49.75476629999999,2019-05-07 00:00:00,2020-03-20 23:04:52,7211000,HEILIGKREUZ,737.5602409062669
Schadowstraße (Ost),Düsseldorf,54,6.783754300000001,51.2266195,2018-05-01 00:00:00,2020-03-20 22:59:05,5111000,GOLZHEIM,2041.8264596551446
Schuchardstraße,Darmstadt,103,8.6530549,49.8715311,2019-01-21 07:30:00,2020-03-20 22:43:59,6411,DARMSTADT,279.7415934897255
Werner-Senger-Straße,Limburg,148,8.0611831,50.3865918,2019-06-05 00:00:00,2020-03-20 22:57:03,6533009,LIMBURG,874.0585085982817
Hoher Weg,Hildesheim,208,9.9507911,52.1518481,2019-10-29 09:11:00,2020-02-06 02:24:05,3254021,HILDESHEIM,1565.6504240550603
Schadowstraße (West),Düsseldorf,53,6.783754300000001,51.2266195,2018-05-01 00:00:00,2020-03-20 23:04:55,5111000,GOLZHEIM,2041.8264596551446
Jungfernstieg,Hamburg,92,9.9919413,53.5536475,2018-09-28 00:00:00,2020-03-20 23:01:55,2000,HAMBURG,195.1966439618982
Große Bockenheimer Straße,Frankfurt a.M.,58,8.674893199999998,50.114437,2018-05-01 00:00:00,2020-03-20 06:15:02,6438009,NEU-ISENBURG,652.6292104128255
Jürgensort,Osnabrück,111,8.045970200000001,52.2743561,2019-01-30 00:00:00,2020-03-20 23:10:30,3404,OSNABRUECK,845.7024953854298
Kröpeliner Straße (West),Rostock,206,12.134834199999998,54.0884406,2019-10-15 00:00:00,2020-03-20 22:59:12,13003000,ROSTOCK,2299.9471557160505
Löhrstraße (Mitte),Koblenz,86,7.5898348,50.354333700000005,2018-07-31 00:00:00,2019-11-15 09:44:50,7111,KOBLENZ,869.3588659604947
Westenhellweg (Mitte),Dortmund,49,7.461371000000001,51.514331899999995,2018-05-01 00:00:00,2020-03-20 23:09:37,5913000,DORTMUND,327.49448819834186
Bahnhofstraße,Saarbrücken,75,6.9933787,49.235851000000004,2018-05-01 00:00:00,2020-03-20 23:11:00,10041100,SAARBRUECKEN,559.481424860488
Hindenburgstraße (Mitte),Mönchengladbach,245,6.4445238,51.1978271,2019-12-18 00:00:00,2020-03-20 23:04:02,5116000,ODENKIRCHEN,818.9078088251342
Maximilianstraße (Mitte),München,166,11.5837392,48.1384016,2019-08-28 00:00:00,2020-03-20 22:58:55,9162,MUENCHEN,623.2442976107898
Westernstraße,Paderborn,169,8.749612599999999,51.7164215,2019-09-26 00:00:00,2020-03-20 22:55:27,5774032,PADERBORN,612.6125931796802
Achternstraße,Oldenburg,210,8.214615799999999,53.14058589999999,2019-10-31 00:00:00,2020-03-20 23:09:39,3403,OLDENBURG,1109.3754990191508
Stresemannstraße,Bielefeld,161,8.533092800000002,52.024893,2019-07-03 00:00:00,2020-03-20 23:01:05,5711,BIELEFELD,945.5232407977776
Mittelstraße,Düsseldorf,157,6.7742511,51.224470700000005,2019-06-20 00:00:00,2020-03-20 23:00:27,5111000,OBERKASSEL,2005.6545505717365
Zeil (Mitte),Frankfurt a.M.,150,8.6874391,50.1148126,2019-06-21 00:00:00,2020-03-20 23:04:47,6438009,NEU-ISENBURG,358.8443908073196
Georgstraße,Hannover,63,9.7374627,52.3747269,2018-05-01 00:00:00,2020-03-20 23:04:34,3241001,HANNOVER,552.7287996706988
Grüner Markt,Bamberg,118,10.888618600000001,49.8933506,2019-03-31 22:04:00,2020-03-20 23:01:31,9461,BAMBERG,242.72343022730786
Breite Gasse,Nürnberg,88,11.0738206,49.4501076,2018-08-27 00:00:00,2020-03-20 23:04:41,9564,NUERNBERG,475.5158756909568
Damm,Braunschweig,130,10.524528199999999,52.262336499999996,2019-04-01 00:00:00,2020-03-20 06:10:40,3101000,WESTSTADT,166.74432191600025
Hochstraße (Mitte),Krefeld,144,6.5636258000000005,51.3305085,2019-05-27 00:00:00,2020-03-20 23:01:17,5114000,DIESSEM,1513.5905239596468
