NUTS_NAME,long_center,lat_center
Südwestpfalz,7.65775790003346,49.20807801390453
Regionalverband Saarbrücken,6.9582125729037445,49.25186442745673
Merzig-Wadern,6.6785258756684245,49.49554578380423
Neunkirchen,7.118737479567127,49.37617514417804
Saarlouis,6.776660885587677,49.35515757708914
Ludwigsburg,9.122794217993366,48.94076140768917
Rems-Murr-Kreis,9.500549025004378,48.898944151952975
"Heilbronn, Stadtkreis",9.182797190606603,49.15269620730197
"Heilbronn, Landkreis",9.191473344574781,49.17716908998717
Eichsfeld,10.252838761043446,51.38316817137012
Nordhausen,10.73028995984111,51.5026778585602
Unstrut-Hainich-Kreis,10.55135547453733,51.18532647803006
Kyffhäuserkreis,10.984751387705456,51.32487508585859
Schmalkalden-Meiningen,10.40499644341354,50.631297092797865
Gotha,10.694169751508902,50.91068938476138
Sömmerda,11.154386670035816,51.15721110987123
Hildburghausen,10.732794097243469,50.43464797182312
Ilm-Kreis,10.968259006983494,50.73847416318976
Weimarer Land,11.374751304923713,50.9714736827388
Sonneberg,11.131466701380132,50.41438962155269
Saalfeld-Rudolstadt,11.308661155301277,50.637389649671924
Saarpfalz-Kreis,7.242525024752243,49.24856458462091
St. Wendel,7.098781566173821,49.52084683074036
"Dresden, Kreisfreie Stadt",13.783042403671551,51.06641907607804
Bautzen,14.230868048430132,51.2686618326426
Görlitz,14.750799863336018,51.22577311815334
Meißen,13.483272310222516,51.238901520870314
Sächsische Schweiz-Osterzgebirge,13.873477739814172,50.916795183998275
"Chemnitz, Kreisfreie Stadt",12.91051036736381,50.82675245673096
Erzgebirgskreis,12.945207995647467,50.60889899873702
Konstanz,8.915590431453152,47.793585996903595
Lörrach,7.773593242952523,47.70375714821567
Waldshut,8.21872223113968,47.69639407389543
Reutlingen,9.366175766337678,48.4057020456097
"Tübingen, Landkreis",8.987613034086765,48.48142308579314
Zollernalbkreis,8.937727323283877,48.267022053272
"Ulm, Stadtkreis",9.949907587070287,48.389418398888
Alb-Donau-Kreis,9.828622289453905,48.40321107369357
Biberach,9.774936503107131,48.107475875314584
Bodenseekreis,9.387600610167974,47.714102791619794
Ravensburg,9.780927446961861,47.825020702243336
Sigmaringen,9.241644793990007,48.03901612732716
"Ingolstadt, Kreisfreie Stadt",11.392883466249392,48.75527242438254
"München, Kreisfreie Stadt",11.545826357414736,48.153657899114506
"Rosenheim, Kreisfreie Stadt",12.108042435280307,47.84464675217642
Hohenlohekreis,9.615067465281689,49.27140710325676
Schwäbisch Hall,9.908631082372777,49.14468053466436
Main-Tauber-Kreis,9.724983332467007,49.56081523224648
Heidenheim,10.182841063086299,48.66312446816215
Ostalbkreis,10.088248192981915,48.87758788858465
"Baden-Baden, Stadtkreis",8.233932863240023,48.748294508725245
"Karlsruhe, Stadtkreis",8.411965411333146,49.011276883715816
"Karlsruhe, Landkreis",8.562139934297718,49.080960206327084
Rastatt,8.239247522250965,48.76135671138626
Straubing-Bogen,12.582495376382614,48.89934067632022
Dingolfing-Landau,12.611144657670758,48.64075926844614
"Amberg, Kreisfreie Stadt",11.845449484285945,49.451114208809635
"Regensburg, Kreisfreie Stadt",12.11348650851406,49.012579212301524
"Weiden i. d. Opf, Kreisfreie Stadt",12.15510817006364,49.66909212485879
Wittmund,7.705521526284244,53.57557508448527
Mittelsachsen,13.137186217602371,50.955539694068335
Vogtlandkreis,12.23532695945752,50.45680855805453
Zwickau,12.525555768864646,50.7507148916122
"Leipzig, Kreisfreie Stadt",12.3755490569567,51.342025505682
Amberg-Sulzbach,11.80069643482712,49.48701141037359
Cham,12.694766115212927,49.237043507741575
Neumarkt i. d. OPf.,11.566698422544919,49.21596654148731
Neustadt a. d. Waldnaab,12.099943770708434,49.68645233553208
"Regensburg, Landkreis",12.120872798435865,49.02138117583351
Schwandorf,12.252944644047567,49.36822626133855
Tirschenreuth,12.201676713579696,49.89917539280591
"Bamberg, Kreisfreie Stadt",10.898407852801324,49.8872756463126
"Bayreuth, Kreisfreie Stadt",11.584340037602306,49.937802591312256
"Coburg, Kreisfreie Stadt",10.96420187026099,50.26416249147329
"Hof, Kreisfreie Stadt",11.896978180108418,50.310474017243976
"Bamberg, Landkreis",10.883716972555607,49.89348478854706
"Bayreuth, Landkreis",11.55545459182256,49.884235745562265
"Düsseldorf, Kreisfreie Stadt",6.809977036727738,51.23642662212745
"Duisburg, Kreisfreie Stadt",6.734996014968442,51.43943255830254
"Essen, Kreisfreie Stadt",7.016208146475988,51.43429924997366
"Krefeld, Kreisfreie Stadt",6.578537014434443,51.34533799883269
"Mönchengladbach, Kreisfreie Stadt",6.411528121419392,51.166861721609116
"Mülheim an der Ruhr, Kreisfreie Stadt",6.878750679748374,51.413721238918804
"Oberhausen, Kreisfreie Stadt",6.8471254323762025,51.51285064258966
"Remscheid, Kreisfreie Stadt",7.224754401802893,51.18332228706957
"Solingen, Kreisfreie Stadt",7.0655268347170646,51.162454335017905
"Wuppertal, Kreisfreie Stadt",7.168267273136582,51.250395809773224
Kleve,6.2584882800297175,51.65228097998686
Mettmann,6.969259120552665,51.25681560123698
Rhein-Kreis Neuss,6.648973476080807,51.14432892933897
Viersen,6.32459219893094,51.28288459103343
Wesel,6.6174643517451415,51.626939256810836
"Bonn, Kreisfreie Stadt",7.111304129017273,50.70544156888698
"Köln, Kreisfreie Stadt",6.973394201390845,50.94626474854871
"Leverkusen, Kreisfreie Stadt",7.014972444059399,51.052964929967835
Düren,6.445288744881653,50.8185491486015
Saale-Holzland-Kreis,11.731000586643828,50.903775998365205
Saale-Orla-Kreis,11.710787155634055,50.58049161394991
Leipzig,12.599633538778484,51.22166407122954
Nordsachsen,12.779314256649979,51.47262354898427
"Dessau-Roßlau, Kreisfreie Stadt",12.232495744622717,51.854952988616425
"Halle (Saale), Kreisfreie Stadt",11.96882681163637,51.47986468923263
"Magdeburg, Kreisfreie Stadt",11.642040290074489,52.11764668448467
Altmarkkreis Salzwedel,11.22690637707369,52.6797704580606
Anhalt-Bitterfeld,12.1433877846301,51.79649703816594
Jerichower Land,12.026469172403402,52.26098327499887
Börde,11.348167536554758,52.22049602419574
"Coburg, Landkreis",10.941902041189984,50.26821583696059
Forchheim,11.173728845905723,49.72117860632118
"Hof, Landkreis",11.819246801581945,50.27330005550898
Kronach,11.371407514110349,50.32809600693526
Kulmbach,11.482367782184243,50.10280081956461
Lichtenfels,11.117838591776216,50.109050045568885
Wunsiedel i. Fichtelgebirge,12.041700917211246,50.089718350712666
"Ansbach, Kreisfreie Stadt",10.563976093744845,49.29204399984413
"Erlangen, Kreisfreie Stadt",10.97721845452283,49.58124222223552
"Fürth, Kreisfreie Stadt",10.967378989286274,49.49136956701885
"Nürnberg, Kreisfreie Stadt",11.082048909493135,49.436030681172234
"Schwabach, Kreisfreie Stadt",11.023513615734206,49.33509741914398
"Ansbach, Landkreis",10.468133754387663,49.247889725891426
Erlangen-Höchstadt,10.915934567556638,49.63978098515771
"Fürth, Landkreis",10.849887057915463,49.447612588558016
Nürnberger Land,11.369462608722783,49.49172625787794
Greiz,12.073341163501718,50.7490418077107
Altenburger Land,12.39878024450206,50.9569063199634
"Eisenach, Kreisfreie Stadt",10.30119611264409,50.989774118316525
Wartburgkreis,10.210283760054606,50.885729950982984
Traunstein,12.581099582385441,47.89437599931517
Weilheim-Schongau,11.048370223791236,47.78812434450522
"Landshut, Kreisfreie Stadt",12.159380536376053,48.54490051201111
"Passau, Kreisfreie Stadt",13.419549699591212,48.581607707468955
"Straubing, Kreisfreie Stadt",12.57321884483303,48.8807911183022
Deggendorf,13.000892488581131,48.77865718655768
Freyung-Grafenau,13.513913566473008,48.82688509433911
Kelheim,11.858375500371151,48.82539048506988
"Landshut, Landkreis",12.195055771745269,48.558084057404656
"Passau, Landkreis",13.366375998126184,48.55892600839008
Regen,13.099294978493084,49.02299038374736
Rottal-Inn,12.867084086423567,48.424503055521676
Neustadt a. d. Aisch-Bad Windsheim,10.46556109878198,49.56915674251202
Roth,11.124062592589084,49.202580851835855
Weißenburg-Gunzenhausen,10.894791485732059,49.03221612493648
"Aschaffenburg, Kreisfreie Stadt",9.144849793511456,49.963841951953064
"Schweinfurt, Kreisfreie Stadt",10.220687756794351,50.04685813292496
"Würzburg, Kreisfreie Stadt",9.94067584105779,49.78428220209908
"Aschaffenburg, Landkreis",9.238256537979504,50.00708432782212
Bad Kissingen,9.964479959397487,50.22291037519051
Rhön-Grabfeld,10.255182742874611,50.37121151703748
Haßberge,10.607629751552505,50.06391045286975
Kitzingen,10.257985902617326,49.753876169201696
Miltenberg,9.233763287904019,49.757964510195876
Main-Spessart,9.662585076785579,49.99331861197741
"Schweinfurt, Landkreis",10.260144579617712,50.0161725235251
"Würzburg, Landkreis",9.929170258956361,49.737457041647815
Rhein-Erft-Kreis,6.717898891747883,50.90440676205183
Euskirchen,6.643053800345572,50.53619495936906
Heinsberg,6.164495811259258,51.04916435833876
Oberbergischer Kreis,7.515668184211202,51.01316834575086
Rheinisch-Bergischer Kreis,7.19407117811298,51.02343950095601
Rhein-Sieg-Kreis,7.234432639550398,50.760930649430854
Städteregion Aachen,6.217562772457498,50.726745503842594
"Stuttgart, Stadtkreis",9.172703928087952,48.77557746954924
Böblingen,8.94286635482632,48.678193674439584
Esslingen,9.368558763304394,48.647739885309996
Göppingen,9.716786839814585,48.66274660101263
"Augsburg, Kreisfreie Stadt",10.884410820396527,48.345793687633126
"Kaufbeuren, Kreisfreie Stadt",10.617007384300878,47.880077348067566
"Kempten (Allgäu), Kreisfreie Stadt",10.30814648331977,47.73815781855909
"Memmingen, Kreisfreie Stadt",10.162948078152327,47.97931324687921
Aichach-Friedberg,11.051318375583389,48.42731749101316
"Augsburg, Landkreis",10.73179780190711,48.35420516316386
Dillingen a.d. Donau,10.529053632751864,48.5965369386656
Günzburg,10.381601393982372,48.35345626778454
Neu-Ulm,10.141056661746237,48.29741947474811
Lindau (Bodensee),9.85695745219556,47.59895080849962
Ostallgäu,10.64037525240974,47.77013836045101
Unterallgäu,10.390657500057658,48.040370121068065
Donau-Ries,10.711860379141859,48.80707801805638
Oberallgäu,10.258650811024737,47.572619774457245
Berlin,13.402348689814309,52.50127939768546
"Bottrop, Kreisfreie Stadt",6.91890153556071,51.57167290242523
"Gelsenkirchen, Kreisfreie Stadt",7.0704212725484545,51.5531355868311
"Münster, Kreisfreie Stadt",7.62352601612491,51.954592547828646
Borken,6.900936681914988,51.9622329469283
Coesfeld,7.365798498099253,51.866553863176364
Recklinghausen,7.158641156909924,51.67206937112141
Steinfurt,7.580671928628516,52.21136117573943
Warendorf,7.957894519662305,51.870009112414316
"Bielefeld, Kreisfreie Stadt",8.54064517487182,52.011486336982856
Burgenlandkreis,11.882470262553587,51.147273895134894
Harz,10.958731769914694,51.82133595636101
Mansfeld-Südharz,11.356547549795357,51.53572702331172
Saalekreis,11.866071858609844,51.4259210966993
Salzlandkreis,11.64288067525206,51.85191799516195
"Brandenburg an der Havel, Kreisfreie Stadt",12.517311573188824,52.40234308059267
"Cottbus, Kreisfreie Stadt",14.365843591264774,51.772292570329334
"Frankfurt (Oder), Kreisfreie Stadt",14.490410574452849,52.325249002608636
"Potsdam, Kreisfreie Stadt",13.02915925206608,52.427108387784415
Barnim,13.704085543218286,52.822696666181784
Dahme-Spreewald,13.820219840800469,52.04117273273354
Elbe-Elster,13.458534969502026,51.61260550864722
Havelland,12.629408100612057,52.620766250776924
Märkisch-Oderland,14.146876180104137,52.6066723323421
Oberhavel,13.205773636903425,52.90702266636444
Oberspreewald-Lausitz,13.944162106560187,51.616572104063266
Oder-Spree,14.218233413166015,52.24425103948488
Stendal,11.839810184776889,52.69680464749334
Wittenberg,12.701198587535943,51.819747638313935
"Flensburg, Kreisfreie Stadt",9.440844386213131,54.78606109163056
"Kiel, Kreisfreie Stadt",10.132561107363468,54.324395965744515
"Lübeck, Kreisfreie Stadt",10.72631212660504,53.87237647781291
"Neumünster, Kreisfreie Stadt",9.984259026247946,54.07995438635056
Dithmarschen,9.10826593970839,54.131382321098755
Herzogtum Lauenburg,10.601877954039445,53.58906258352316
Ostprignitz-Ruppin,12.63559056572791,52.99141392535322
Potsdam-Mittelmark,12.688567690250549,52.2463400307639
Prignitz,11.961286887463109,53.10979526221941
Spree-Neiße,14.433707941474161,51.75835636632527
Teltow-Fläming,13.275094221343744,52.07421182372469
Uckermark,13.8612561085211,53.20552466617104
"Bremen, Kreisfreie Stadt",8.783140861590741,53.11836698179217
"Bremerhaven, Kreisfreie Stadt",8.576234855965332,53.5413824266054
Hamburg,10.011522685685627,53.547273366617034
"Darmstadt, Kreisfreie Stadt",8.664513670995872,49.88150120083313
"Frankfurt am Main, Kreisfreie Stadt",8.644358088337464,50.117665366807444
"Offenbach am Main, Kreisfreie Stadt",8.78119471759662,50.091523421438005
"Wiesbaden, Kreisfreie Stadt",8.260294920472525,50.07869844222939
Gütersloh,8.35007861403929,51.931792809204595
Herford,8.643686617844365,52.16751471499016
Höxter,9.178556619491424,51.68497860070677
Lippe,8.949853603418614,51.98145866549466
Minden-Lübbecke,8.738213819134515,52.352549705780035
Paderborn,8.720062924849174,51.66508132452931
"Bochum, Kreisfreie Stadt",7.224117993109146,51.47127613078914
Altötting,12.70643722382124,48.20938231266211
Berchtesgadener Land,12.901927745759632,47.69881234780492
Bergstraße,8.659821558686252,49.61910077517828
Darmstadt-Dieburg,8.796090999764916,49.85545066505625
Groß-Gerau,8.469980596397484,49.90375248789724
Hochtaunuskreis,8.504189740845922,50.28169566403015
Main-Kinzig-Kreis,9.284545392976698,50.24318842935475
Main-Taunus-Kreis,8.43454726014974,50.102555938689925
Odenwaldkreis,8.979079350421621,49.67182161109276
"Offenbach, Landkreis",8.81048287792425,50.021399316989736
Rheingau-Taunus-Kreis,8.081185812224088,50.141800703630125
Wetteraukreis,8.90794509226248,50.35494058360812
"Gießen, Landkreis",8.807488988224227,50.570129028183935
Lahn-Dill-Kreis,8.36491240585614,50.648176221779565
Limburg-Weilburg,8.199177095865181,50.42734610774232
Marburg-Biedenkopf,8.73781751806596,50.83673382218372
Vogelsbergkreis,9.27190658908884,50.63773871597495
"Kassel, Kreisfreie Stadt",9.462053784229951,51.31238861755658
"Dortmund, Kreisfreie Stadt",7.474131853900633,51.51567947779492
"Hagen, Kreisfreie Stadt",7.4981536734992655,51.34809427047003
"Hamm, Kreisfreie Stadt",7.8236997933528345,51.6647042597219
"Herne, Kreisfreie Stadt",7.205215750475821,51.538124375811094
Ennepe-Ruhr-Kreis,7.322737853761909,51.34670158010786
Hochsauerlandkreis,8.38654857678524,51.30726742857665
Märkischer Kreis,7.713347971094791,51.26295472102582
Olpe,7.976618222675231,51.086056954925255
Siegen-Wittgenstein,8.19520149620499,50.93776231383587
Soest,8.21758909455252,51.564663216677374
Unna,7.636217263584049,51.57784224522546
"Koblenz, Kreisfreie Stadt",7.5802269935380675,50.34812144183109
Fulda,9.759266452477952,50.56383604574033
Hersfeld-Rotenburg,9.752176711359002,50.90604953714393
"Kassel, Landkreis",9.407405718800035,51.40127893875966
Schwalm-Eder-Kreis,9.373152772869583,51.02378409728192
Waldeck-Frankenberg,8.889597589655246,51.190743229673295
Werra-Meißner-Kreis,9.929080475452341,51.190415804350934
"Rostock, Kreisfreie Stadt",12.143113386285464,54.14684635718938
"Schwerin, Kreisfreie Stadt",11.41511144839091,53.62126354914826
Mecklenburgische Seenplatte,13.002512513408318,53.54388190386277
Landkreis Rostock,12.220266535409998,53.912140397891434
Vorpommern-Rügen,12.975197136754293,54.285859845927284
Nordwestmecklenburg,11.252140373372526,53.820718399333416
Vorpommern-Greifswald,13.782009078746075,53.790029999417925
Ludwigslust-Parchim,11.533379859920887,53.44993332119948
"Braunschweig, Kreisfreie Stadt",10.523066632770213,52.27557300340392
"Salzgitter, Kreisfreie Stadt",10.372484817703564,52.12507453671836
"Wolfsburg, Kreisfreie Stadt",10.78528455462068,52.410397986389405
Gifhorn,10.604863967892888,52.57997565539295
Goslar,10.400160615590062,51.87435597646509
Helmstedt,10.887748608172547,52.26016345754484
Ahrweiler,7.044643557100624,50.46796900490694
Altenkirchen (Westerwald),7.744100967600236,50.75109618354661
Bad Kreuznach,7.686161543380761,49.8249707079441
Bad Tölz-Wolfratshausen,11.483427358477634,47.727101878898885
Dachau,11.35622456709764,48.33499404693208
Ebersberg,11.912951430298918,48.076632088482754
Eichstätt,11.371248607121684,48.898247089750974
Erding,12.000510226108231,48.30135746006425
Freising,11.741173276777333,48.44789494595708
Fürstenfeldbruck,11.200669299691555,48.18715928391959
Garmisch-Partenkirchen,11.131523105370135,47.55715625721116
Landsberg am Lech,10.949039695219655,48.023684947684465
Miesbach,11.808418038608895,47.74213864874026
Mühldorf a. Inn,12.381802406474101,48.23954704585423
"München, Landkreis",11.6308547437226,48.07494287605596
Neuburg-Schrobenhausen,11.197300334101051,48.6638289215583
Pfaffenhofen a. d. Ilm,11.5253268655594,48.59655630643168
Northeim,9.847908078848535,51.742462846586164
Peine,10.254679053030134,52.30376189693405
Wolfenbüttel,10.58413953006091,52.126410057167085
Göttingen,10.088033110882417,51.564054794951645
Diepholz,8.700931864134986,52.72890420246422
Hameln-Pyrmont,9.389601700677149,52.09610425222671
Hildesheim,9.943331424481858,52.090213447267494
Holzminden,9.550861862624318,51.88083447489915
Nienburg (Weser),9.113451125064005,52.60951399693394
Schaumburg,9.204237663499024,52.29268890964238
Region Hannover,9.719553603710702,52.42213688125368
Celle,10.102605712714437,52.713366048337356
Cuxhaven,8.81215512782007,53.616596259882314
Birkenfeld,7.277429358800889,49.712261331643994
Mayen-Koblenz,7.332321907879664,50.33225396697839
Neuwied,7.4682960924520705,50.558398037658144
Rhein-Lahn-Kreis,7.842113301111133,50.26317665575725
Westerwaldkreis,7.865473677652881,50.55243193102009
Cochem-Zell,7.174253401737437,50.133376321402324
Rhein-Hunsrück-Kreis,7.500028455756342,50.043953715130066
"Trier, Kreisfreie Stadt",6.655021853646703,49.76313324297323
Bernkastel-Wittlich,6.96781037129204,49.923932543839655
Eifelkreis Bitburg-Prüm,6.4105263023812995,50.06193500932836
Vulkaneifel,6.749233842452035,50.2383343135167
"Heidelberg, Stadtkreis",8.6955474461103,49.40533600401204
"Mannheim, Stadtkreis",8.501114655732552,49.49798900525461
Neckar-Odenwald-Kreis,9.279411944170182,49.466892758625626
"Rosenheim, Landkreis",12.163559169610398,47.879400306826284
Starnberg,11.281814411863168,48.00509793826442
Harburg,9.963222022207239,53.31600299815931
Lüchow-Dannenberg,11.123918811912949,53.0194226984365
"Lüneburg, Landkreis",10.5742972522275,53.23282586599575
Osterholz,8.809382554620116,53.250914682189375
Rotenburg (Wümme),9.307011813055478,53.250120658057014
Heidekreis,9.7688678217006,52.92835426999538
Stade,9.420579703106595,53.58511823087438
Uelzen,10.547498979933057,52.98345861321993
Verden,9.175295011239836,52.97323931231465
"Delmenhorst, Kreisfreie Stadt",8.647384709990925,53.04926331014376
Rhein-Neckar-Kreis,8.766951272850319,49.36864203173559
"Pforzheim, Stadtkreis",8.712708685043228,48.87742432369907
Calw,8.6351986405243,48.67917350829089
Enzkreis,8.736508793915226,48.913475991600855
Freudenstadt,8.465110812829552,48.47404170461664
"Freiburg im Breisgau, Stadtkreis",7.816608134482636,47.99307927193151
Breisgau-Hochschwarzwald,7.925936337638557,47.92501052919814
Emmendingen,7.896168940514086,48.14801697114014
Ortenaukreis,8.015487040615673,48.42082390202972
Rottweil,8.532038805250405,48.254276962821514
Schwarzwald-Baar-Kreis,8.411614309648423,48.01846525152644
Tuttlingen,8.794001941960612,48.01144390612655
Nordfriesland,8.898209034704648,54.61466680370067
Ostholstein,10.819144068126674,54.1890657188989
Pinneberg,9.73052265441796,53.715125378417625
Plön,10.364102193771883,54.24311343715368
Rendsburg-Eckernförde,9.780668166182005,54.2884871260354
Schleswig-Flensburg,9.503623760807876,54.62348985197344
Segeberg,10.141662413482209,53.92019927300322
Steinburg,9.513751739815278,53.92467031134851
Stormarn,10.331472415792364,53.72157167784334
"Erfurt, Kreisfreie Stadt",11.021838938986155,50.98245239625665
"Gera, Kreisfreie Stadt",12.082847705949298,50.89466780871316
Trier-Saarburg,6.694775499208308,49.69645032848116
"Frankenthal (Pfalz), Kreisfreie Stadt",8.358492632207122,49.53469580361406
"Kaiserslautern, Kreisfreie Stadt",7.760598767002349,49.43203832802463
"Landau in der Pfalz, Kreisfreie Stadt",8.052234404554502,49.22339529204508
"Ludwigshafen am Rhein, Kreisfreie Stadt",8.396440608966822,49.48289406903108
"Emden, Kreisfreie Stadt",7.181862250949455,53.3600585059203
"Oldenburg (Oldenburg), Kreisfreie Stadt",8.225275959816182,53.14551627555817
"Osnabrück, Kreisfreie Stadt",8.047099430911466,52.27748325441053
"Mainz, Kreisfreie Stadt",8.241143216463653,49.975075240723655
"Neustadt an der Weinstraße, Kreisfreie Stadt",8.152310407953724,49.34182626158014
