,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
33,,2020-03-20,,,05112,0.7874015748031495,0.8513513513513513,0.7725321888412018,1.0,0.8413612565445026
34,,2020-03-20,,0.5075546740880543,05113,0.7843137254901961,0.819672131147541,0.7938775510204081,0.8622106049290515,0.8419261973305417
35,,2020-03-20,,0.7919974217357084,05114,,1.0,0.8404401650618982,,0.8410958904109589
36,,2020-03-20,,0.952125897021222,05116,,,,,
37,,2020-03-20,,,05122,0.9473684210526315,1.0,1.0,0.9893805309734514,0.9901547116736991
38,,2020-03-20,,0.887158745070684,05124,,,,,
39,1.0,2020-03-20,,,05154,,,0.9497041420118343,,0.9497784342688331
40,,2020-03-20,,,05158,,,1.0,0.9906417112299465,0.9917208752217622
41,,2020-03-20,,,05162,,,0.9711417816813049,0.7963340122199593,0.8577092511013216
42,,2020-03-20,,,05166,,1.0,0.9696969696969697,,0.9699453551912568
43,,2020-03-20,,0.42934018234224935,05314,0.9814814814814815,0.8695652173913044,0.9804804804804805,1.0,0.982316534040672
44,,2020-03-20,,0.47064001855731896,05315,0.7482014388489209,0.9027777777777778,0.9676616915422885,0.7374807395993837,0.8016997167138811
45,,2020-03-20,,0.5672092025284139,05334,0.45833333333333326,1.0,0.9862455425369333,1.0,0.9800498753117207
46,,2020-03-20,,,05358,,,0.9859154929577465,0.8344370860927153,0.9333333333333333
47,,2020-03-20,,,05362,,,0.9018348623853211,0.7490842490842491,0.8508557457212713
48,,2020-03-20,,,05366,,,0.9856262833675564,1.0,0.9885057471264368
49,,2020-03-20,,0.7656775031579295,05378,,,,,
50,,2020-03-20,,,05382,0.26984126984126977,,0.9551971326164874,0.8414807783578548,0.8691418137553256
51,,2020-03-20,,,05512,,,0.27956989247311836,0.0,0.24451410658307204
52,,2020-03-20,,,05513,0.5,0.8484848484848485,0.8235294117647058,0.978021978021978,0.8497109826589595
53,,2020-03-20,,0.2778101986939002,05515,,,,,
54,,2020-03-20,,1.1100301135047486,05554,,,1.0,,1.0
55,,2020-03-20,,,05558,,,0.9940387481371088,,0.9940387481371088
56,,2020-03-20,,,05562,0.6666666666666667,0.9473684210526316,0.6842105263157894,0.9852941176470589,0.7195685670261942
57,,2020-03-20,,,05566,,1.0,1.0,,1.0
58,,2020-03-20,,0.7331636900772307,05711,1.0,0.8888888888888888,0.9974811083123426,,0.9941792782305006
59,,2020-03-20,,,05758,1.0,0.9696969696969697,0.9933444259567388,,0.9921630094043887
60,,2020-03-20,,,05762,1.0,1.0,0.9935064935064936,0.9444444444444444,0.9886039886039886
61,,2020-03-20,,,05766,,,1.0,0.9230769230769231,0.9876288659793815
62,,2020-03-20,,0.0,05774,1.0,0.9166666666666666,1.0,0.9473684210526315,0.9944903581267217
63,,2020-03-20,,,05911,0.8421052631578947,0.8148148148148149,1.0,0.9933155080213903,0.9855643044619422
